VOC,JSC,FF,PCE,NOCount_D,NumAliphaticCarbocycles_D,NumAliphaticRings_D,NumAromaticCarbocycles_D,RingCount_D,fr_C_O_D,fr_NH0_D,fr_bicyclic_D,fr_ether_D,fr_halogen_D,fr_unbrch_alkane_D,NOCount_A,NumAliphaticCarbocycles_A,NumAliphaticRings_A,NumAromaticCarbocycles_A,NumAromaticHeterocycles_A,NumHAcceptors_A,NumHeteroatoms_A,NumRotatableBonds_A,fr_Ar_N_A,fr_C_O_A,fr_NH0_A,fr_allylic_oxid_A,fr_aryl_methyl_A,fr_bicyclic_A,fr_halogen_A,fr_ketone_A,fr_nitrile_A,fr_thiophene_A,fr_unbrch_alkane_A
1.05,12.2,63,8.06,2,1,1,1,10,2,0,4,0,0,0,4,4,4,7,4,8,12,26,0,4,0,2,4,12,4,4,0,4,8
0.92,14.3,61.2,8.05,2,0,0,1,9,0,2,3,0,0,20,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
0.95,13.44,62.5,8,8,0,0,0,7,0,6,0,0,0,16,6,4,4,3,2,8,8,30,0,2,4,6,0,8,0,2,4,2,16
0.91,12.02,69,7.97,2,1,1,1,10,2,0,4,0,0,0,18,0,0,19,6,18,18,54,6,0,6,0,0,15,0,0,0,0,12
0.993,14,56.9,7.9,2,0,0,1,7,1,0,3,1,3,7,5,4,4,3,8,13,13,26,0,1,4,6,4,12,0,1,4,8,8
0.71,20.88,52.8,7.83,4,0,0,3,15,0,4,4,0,0,40,10,2,2,3,7,15,19,34,4,2,8,6,2,16,4,2,4,4,14
0.88,16.3,54.43,7.82,2,0,0,1,7,1,0,3,1,1,0,8,1,3,2,4,14,16,17,4,2,6,0,0,5,0,0,0,2,0
0.95,14.68,54.5,7.81,6,0,0,1,11,2,2,6,2,2,8,6,4,4,7,4,10,14,26,0,2,4,6,4,12,4,2,4,4,8
0.9,14.43,60,7.79,2,1,1,1,10,2,0,4,0,0,0,6,4,8,3,4,10,14,34,0,2,4,18,0,12,0,2,4,4,16
0.96,12.7,63.5,7.76,2,0,0,2,9,0,2,3,0,2,20,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
0.8,20.9,47.3,7.6,6,0,2,1,11,4,2,4,0,0,28,10,2,2,3,7,15,19,34,4,2,8,6,2,16,4,2,4,4,14
0.94,13.67,59,7.58,0,0,0,0,1,0,0,0,0,0,2,17,0,4,9,1,13,17,42,1,8,9,2,1,3,0,0,4,0,28
0.93,13.3,62.21,7.54,2,1,1,1,10,2,0,4,0,0,0,12,6,6,9,8,20,20,34,0,4,8,12,4,10,0,4,8,8,8
0.84,16.01,56,7.53,2,0,0,1,7,1,0,3,1,1,0,8,3,3,2,4,10,10,18,0,2,4,6,0,5,0,2,4,2,8
0.94,12.83,62.4,7.52,2,1,1,1,10,2,0,4,0,0,0,12,0,0,12,5,12,13,44,4,0,4,0,0,9,0,0,0,0,16
0.69,16.9,64.46,7.52,2,1,1,1,10,2,0,4,0,0,0,6,4,4,2,4,10,14,27,0,2,4,6,0,8,4,2,4,4,0
0.8,14.79,59.1,7.51,2,0,0,1,7,1,0,3,1,1,0,10,4,4,7,4,14,14,30,0,2,4,6,0,12,0,2,4,4,12
0.8,15.2,62,7.5,8,0,0,0,7,0,6,0,0,0,16,6,4,4,7,4,10,14,26,0,2,4,6,4,12,4,2,4,4,8
0.95,15.45,51,7.46,2,1,1,1,10,2,0,4,0,2,0,6,4,4,7,4,8,10,26,0,2,4,6,4,12,0,2,4,2,8
0.8,13.9,65.42,7.31,2,1,1,1,10,2,0,4,0,0,0,8,2,2,5,8,16,22,42,2,0,6,0,4,8,6,0,4,6,16
0.9,13.87,58,7.27,2,1,1,1,10,2,0,4,0,0,0,6,4,8,3,4,10,14,26,0,2,4,18,0,12,0,2,4,4,8
0.8,13.94,64.8,7.23,2,0,0,1,7,1,0,3,1,1,0,14,2,8,4,4,16,21,54,2,2,8,8,0,2,4,2,4,2,36
0.7,15.4,66.7,7.2,6,0,0,0,7,2,2,0,2,0,23,10,2,2,3,7,15,19,34,4,2,8,6,2,16,4,2,4,4,14
1,12.47,51,7.17,2,0,1,0,7,0,2,4,0,0,0,8,1,3,2,2,8,12,22,0,4,4,0,0,3,0,0,0,2,8
1,11.25,63.9,7.16,2,1,1,1,12,2,0,8,0,0,8,24,4,12,21,4,20,28,94,0,16,8,0,0,6,0,0,0,4,32
0.65,20.43,53.82,7.15,3,0,0,2,9,0,3,3,0,2,6,10,2,2,3,7,15,19,34,4,2,8,6,2,16,4,2,4,4,14
0.98,11.2,65,7.11,2,1,1,1,10,2,0,4,0,0,0,6,3,3,4,2,8,8,16,0,2,4,6,0,5,0,2,4,2,0
0.99,12.2,60,7.1,2,1,1,1,10,2,0,4,0,0,0,8,2,4,1,2,8,12,34,0,4,4,0,0,6,0,0,0,2,16
0.99,12.66,56.3,7.02,3,0,1,2,9,2,1,3,0,2,0,6,4,4,3,2,8,8,22,0,2,4,6,0,8,0,2,4,2,8
1.01,12.38,55.86,7.02,2,1,1,1,10,2,0,4,0,2,0,8,4,4,3,7,15,15,48,2,2,6,6,4,14,0,2,4,6,16
0.79,18.1,49,7,2,1,1,1,10,2,0,4,0,2,0,6,4,4,6,6,12,16,26,0,2,4,6,4,15,4,2,4,6,8
0.88,13.7,57.3,6.95,3,0,0,2,9,0,3,3,0,2,24,6,4,4,7,2,8,8,26,0,2,4,6,4,8,0,2,4,2,8
0.863,12.9,62,6.9,2,0,0,1,7,1,0,3,1,1,0,12,0,0,12,6,14,14,36,4,0,4,0,0,5,0,0,0,2,8
0.87,11.4,71,6.89,6,0,0,1,6,2,2,1,2,2,28,6,4,4,7,4,10,14,26,0,2,4,6,4,12,4,2,4,4,8
1,14.01,48.59,6.81,2,1,1,1,10,2,0,4,0,2,0,6,6,6,13,4,10,14,68,0,2,4,6,8,14,4,2,4,4,32
0.85,15.3,52.8,6.8,3,0,0,1,3,0,2,1,1,2,6,11,2,2,3,7,15,19,20,5,2,9,6,0,16,4,2,4,4,0
0.98,13.12,51.92,6.73,2,1,1,1,10,2,0,4,0,2,0,6,6,6,13,4,10,14,60,0,2,4,6,8,14,4,2,4,4,24
1.01,10.61,63,6.72,4,0,0,1,5,1,0,3,3,1,0,16,0,4,4,4,16,20,40,0,8,8,0,0,0,0,0,4,4,16
0.88,12.55,60.6,6.69,2,0,0,1,9,0,2,3,0,0,20,10,4,4,7,4,14,18,30,0,2,4,6,0,12,4,2,4,4,12
0.865,11.67,66.1,6.65,2,1,1,1,10,2,0,4,0,0,0,6,0,2,2,2,6,8,38,0,4,2,0,0,0,0,0,0,2,20
0.75,13.6,65,6.6,0,0,0,0,1,0,0,0,0,0,2,8,2,4,3,4,14,16,34,4,2,6,0,0,8,0,0,0,2,16
0.93,12.3,56.7,6.46,2,1,1,1,10,2,0,4,0,0,0,10,4,4,7,6,16,16,32,0,2,4,6,8,12,0,2,4,6,8
0.93,12.53,55.5,6.46,3,0,1,2,9,2,1,3,0,0,0,6,4,4,3,2,8,8,22,0,2,4,6,0,8,0,2,4,2,8
0.87,12.13,61,6.44,2,1,1,1,10,2,0,4,0,0,0,10,7,7,6,4,14,14,30,0,2,4,10,0,25,0,2,4,4,0
0.75,12.87,66,6.37,0,0,0,0,1,0,0,0,0,0,2,12,2,2,7,6,16,16,38,6,0,10,0,0,8,0,0,4,2,16
0.92,12.75,53.73,6.3,3,0,0,2,9,0,3,3,0,2,6,14,0,0,2,8,22,22,28,8,0,12,0,0,3,0,0,4,2,4
0.79,13.34,59.49,6.27,2,0,0,1,7,1,0,3,1,1,0,8,1,1,3,4,12,12,17,4,0,8,2,0,5,0,0,4,2,0
0.96,12,53.6,6.18,3,0,1,1,9,2,1,3,0,0,22,6,4,4,3,2,8,8,22,0,2,4,6,0,8,0,2,4,2,8
0.78,12.99,56.7,6.17,2,0,0,1,7,1,0,3,1,1,0,10,4,4,7,4,14,18,30,0,2,4,6,0,12,4,2,4,4,12
0.67,18.77,48.9,6.15,2,0,0,1,7,1,0,3,1,1,0,6,2,4,2,4,10,16,30,0,2,4,6,0,11,4,2,4,4,16
0.937,13.41,48.7,6.12,3,0,0,2,9,0,3,3,0,4,6,6,4,4,10,2,8,8,26,0,2,4,6,4,9,0,2,4,2,8
0.92,10.02,66,6.08,0,0,0,0,1,0,0,0,0,0,2,10,2,4,3,4,14,16,34,4,4,6,0,0,8,0,0,0,2,16
0.72,12.5,67,6.05,0,0,0,0,1,0,0,0,0,0,2,8,2,4,3,4,14,16,30,4,2,6,0,0,8,0,0,0,2,0
0.74,14.2,57.48,6.04,3,0,0,2,10,0,3,4,0,1,6,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
0.99,9.68,63,6.02,0,0,0,0,1,0,0,0,0,0,2,16,0,4,4,4,16,20,40,0,8,8,0,0,0,0,0,4,4,16
0.86,12.6,55,5.95,2,0,0,1,7,1,0,3,1,1,9,5,4,4,3,8,13,13,26,0,1,4,6,4,12,0,1,4,8,8
0.93,12.2,53,5.9,8,0,0,0,7,0,6,0,0,0,16,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
0.93,9.54,66.6,5.9,3,0,0,1,6,0,3,1,0,2,6,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
0.98,12.03,50,5.89,2,1,1,1,10,2,0,4,0,0,0,6,2,2,3,6,12,12,46,0,2,4,6,4,4,0,2,4,6,16
0.93,12.58,50.45,5.89,2,0,0,1,7,1,0,3,1,1,0,8,4,6,5,4,10,14,30,0,4,4,6,4,10,0,0,0,4,8
0.74,12.09,65,5.88,2,0,0,1,7,1,0,3,1,1,0,6,4,4,10,2,8,12,26,0,2,4,6,4,10,4,2,4,2,8
0.91,10.28,62.4,5.84,2,1,1,1,10,2,0,4,0,0,0,22,0,9,18,0,16,22,111,0,12,7,0,0,3,0,0,0,0,60
0.84,11.4,61.1,5.84,6,0,0,0,5,2,2,0,2,0,16,10,2,2,3,7,15,19,34,4,2,8,6,2,16,4,2,4,4,14
0.74,15.7,49.8,5.8,5,0,0,4,9,0,3,3,2,8,10,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
0.81,12.9,55.2,5.8,2,0,2,2,13,0,2,9,0,4,0,8,4,4,7,4,12,16,42,0,2,4,6,4,8,4,2,4,4,8
0.68,13.7,62,5.79,2,1,1,1,10,2,0,4,0,0,0,10,7,7,6,4,14,18,30,0,2,4,10,0,25,4,2,4,4,0
0.84,12.7,56.3,5.67,2,1,1,1,10,2,0,4,0,0,0,6,4,4,3,2,8,8,62,0,2,4,6,0,8,0,2,4,2,48
0.96,9.66,60.9,5.65,2,1,1,1,10,2,0,4,0,0,0,12,0,0,13,6,14,14,57,4,0,4,0,0,10,0,0,0,2,24
0.887,13.12,48.2,5.61,3,0,0,2,9,0,3,3,0,4,6,6,4,4,10,2,8,12,26,0,2,4,6,4,9,4,2,4,2,8
0.96,11.4,50.9,5.56,2,1,1,1,10,2,0,4,0,0,0,6,3,3,3,2,8,8,13,0,2,4,6,0,5,0,2,4,2,4
1.118,10.02,49.5,5.55,2,0,0,2,9,0,2,3,0,4,0,12,3,5,10,2,10,12,52,2,4,4,1,0,8,0,0,0,0,0
0.77,12.55,56.7,5.48,2,0,0,1,7,1,0,3,1,1,0,10,2,8,4,4,12,17,6,2,2,8,8,0,2,4,2,4,2,0
1.15,8.17,52,5.42,2,0,1,0,7,0,2,4,0,0,0,10,1,3,2,2,8,12,18,0,6,4,0,0,3,0,0,0,2,8
0.698,11.4,68,5.4,2,0,0,1,7,1,0,3,1,1,0,12,0,0,12,6,15,15,36,4,0,4,0,0,5,0,0,0,1,8
0.86,8.81,71,5.38,0,0,0,0,1,0,0,0,0,0,2,8,2,4,7,4,14,16,38,4,2,6,0,4,8,0,0,0,2,16
0.98,12.48,43.1,5.35,2,0,0,1,7,1,0,3,1,1,0,18,0,2,10,8,18,20,40,6,2,8,0,2,3,0,0,0,2,12
0.77,11.6,59,5.31,2,1,1,1,10,2,0,4,0,0,0,10,3,3,8,4,12,12,22,4,2,8,6,0,7,0,2,4,2,8
0.8,20.88,54,5.3,2,0,2,5,10,0,2,8,0,0,0,8,2,2,3,4,12,12,32,4,0,8,2,0,8,0,0,4,2,16
0.901,10.23,57.5,5.3,4,0,0,0,4,2,0,0,2,0,4,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
0.95,9.24,60,5.26,0,0,0,0,1,0,0,0,0,0,2,28,0,12,12,0,20,28,68,0,16,12,0,0,0,0,0,0,0,32
0.85,12.55,49,5.2,4,0,0,4,11,0,2,3,2,6,0,11,2,2,3,5,13,13,20,5,2,9,6,0,12,0,2,4,2,0
0.9,9.46,59.1,5.2,2,1,1,1,10,2,0,4,0,2,0,18,2,2,14,8,22,26,60,4,2,8,6,2,11,4,2,4,4,22
1.02,10.27,47,5.16,8,0,0,2,10,2,4,2,2,4,30,28,0,8,25,2,20,28,80,4,16,12,0,0,10,0,0,0,0,16
1.01,10.64,47.81,5.13,2,1,1,1,10,2,0,4,0,0,0,6,2,2,6,2,8,8,42,0,2,4,6,4,2,0,2,4,2,20
0.99,8.9,57.74,5.1,2,1,1,1,10,2,0,4,0,0,0,20,3,6,21,10,21,28,96,2,11,5,0,0,4,0,5,0,4,32
1.05,9.89,49,5.1,2,1,1,1,10,2,0,4,0,2,0,6,4,4,7,6,12,12,26,0,2,4,6,4,16,0,2,4,6,8
0.84,10.6,57,5.05,2,0,0,1,7,1,0,3,1,1,0,12,0,4,11,2,10,16,60,0,8,4,0,0,4,2,0,0,2,24
0.95,9.46,57.15,4.92,3,0,0,2,9,0,3,3,0,2,6,12,0,0,13,4,12,12,12,4,0,4,0,0,9,0,0,0,0,0
0.9,11.7,47,4.9,2,0,0,1,7,1,0,3,1,0,0,6,4,4,7,4,10,10,40,0,2,4,6,4,8,0,2,4,4,8
0.74,12.85,50,4.87,2,0,0,1,7,1,0,3,1,1,0,10,4,4,7,6,16,16,44,0,4,4,6,4,10,0,2,4,6,18
0.95,4.37,69,4.81,0,0,0,0,1,0,0,0,0,0,2,8,2,4,7,4,12,14,38,4,2,6,0,0,8,0,0,0,2,16
0.77,13.6,44.1,4.8,2,1,1,1,10,2,0,4,0,2,0,14,2,4,7,6,16,22,40,2,6,8,6,0,10,4,2,4,4,8
0.74,10.8,58,4.8,2,1,1,1,10,2,0,4,0,2,0,12,2,4,7,4,14,20,42,0,6,6,6,2,6,4,2,4,4,18
0.71,11.73,54,4.65,2,0,0,1,7,1,0,3,1,1,0,12,0,4,10,1,9,13,38,0,8,4,0,0,4,0,0,0,1,8
0.9,9.18,52.94,4.61,2,1,1,1,10,2,0,4,0,0,0,10,6,6,6,6,16,16,39,0,3,7,9,0,12,0,3,6,6,0
0.942,8.34,54.78,4.56,3,0,0,2,9,0,3,3,0,2,6,12,0,0,13,4,12,12,36,4,0,4,0,0,9,0,0,0,0,8
1,8.25,53.9,4.46,2,1,1,0,7,2,0,2,0,0,0,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
0.83,11.45,46.7,4.45,2,0,0,1,7,1,0,3,1,1,0,6,4,4,9,2,8,8,26,0,2,4,6,4,10,0,2,4,2,8
0.42,9.8,47,4.42,2,1,1,1,12,2,0,8,0,0,8,16,3,9,18,0,11,16,72,0,10,6,0,0,3,0,0,0,0,24
0.719,11.82,51.7,4.4,2,0,0,1,7,1,0,3,1,1,0,12,0,4,10,0,8,12,21,0,8,4,0,0,4,0,0,0,0,0
0.83,11.15,47.2,4.39,2,1,1,1,10,2,0,4,0,0,0,6,4,4,2,4,10,10,27,0,2,4,6,4,8,0,2,4,4,0
0.906,7.84,60.8,4.32,2,1,1,1,10,2,0,4,0,2,0,12,0,4,10,0,8,17,37,0,8,4,0,0,4,5,0,0,0,8
0.96,8.55,52.5,4.31,2,1,1,1,10,2,0,4,0,0,0,8,4,4,7,6,12,12,40,2,2,6,6,6,16,0,2,4,4,16
0.74,11.27,51.29,4.28,2,0,0,1,7,1,0,3,1,1,0,14,2,6,4,4,16,20,52,2,2,8,11,0,4,3,2,4,2,36
0.851,12.54,39.9,4.26,3,0,0,2,7,0,3,3,0,0,6,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
0.83,8.95,57,4.21,0,0,0,0,1,0,0,0,0,0,2,7,0,0,6,1,7,7,6,0,0,5,2,0,1,0,0,4,0,0
1,8.77,47,4.19,2,0,0,1,7,1,0,3,1,1,0,18,3,3,22,6,18,18,84,6,0,6,0,0,24,0,0,0,0,24
1.04,8.36,48,4.17,6,0,2,2,10,0,6,8,0,2,20,8,0,4,0,2,10,14,18,0,4,4,0,0,1,0,0,0,2,0
0.78,9.88,53.2,4.1,2,0,0,1,7,1,0,3,1,1,0,16,2,8,4,4,18,23,78,2,2,8,8,0,2,4,2,4,2,54
0.81,8.58,58,4.04,0,0,0,0,1,0,0,0,0,0,2,12,0,4,6,0,8,12,30,0,8,4,0,0,0,0,0,0,0,16
1,6.02,67,4.03,0,0,0,0,1,0,0,0,0,0,2,8,2,4,11,4,12,14,34,4,2,6,0,4,8,0,0,0,2,8
0.72,9.8,55,4.03,2,0,0,1,7,1,0,3,1,1,0,12,0,4,10,2,10,14,39,0,8,4,0,0,4,0,0,0,2,8
0.91,9.91,44.42,4.01,6,0,1,2,10,2,4,4,0,2,4,10,2,2,3,8,16,16,67,4,2,8,6,2,16,0,2,4,5,42
0.95,9.13,44.85,3.89,6,0,0,1,13,2,2,8,2,0,28,6,4,4,7,4,10,10,26,0,2,4,6,4,12,0,2,4,4,8
0.9,9.3,47,3.8,0,0,0,0,1,0,0,0,0,0,2,7,1,3,6,2,7,9,24,0,5,2,0,0,3,0,1,0,2,4
0.93,6.78,59,3.75,0,0,0,0,1,0,0,0,0,0,2,3,0,1,2,12,12,15,39,0,2,1,0,2,5,0,0,0,10,0
0.81,10.92,38,3.71,2,0,0,1,6,0,2,1,0,2,20,16,1,5,12,0,12,16,24,0,8,4,0,0,7,0,0,0,0,4
0.71,8.15,62,3.68,0,0,0,0,1,0,0,0,0,0,2,8,3,5,8,4,14,16,44,4,2,6,0,4,11,0,0,0,2,16
0.8,9.94,46.4,3.68,2,0,0,1,7,1,0,3,1,1,0,18,0,0,12,6,18,18,35,6,0,6,0,0,8,0,0,0,0,6
0.993,9.21,40,3.68,2,0,0,2,9,0,2,3,0,2,0,12,3,5,10,2,10,12,52,2,4,4,1,0,8,0,0,0,0,0
0.82,8.95,49,3.63,2,0,0,1,7,1,0,3,1,1,0,12,0,4,10,2,10,14,59,0,8,4,0,0,4,0,0,0,2,24
1.1,6.1,54,3.62,0,0,0,0,6,0,0,0,0,0,0,6,0,3,3,2,6,8,0,2,0,6,0,0,10,1,0,0,0,0
0.691,9.63,54.3,3.61,2,0,0,1,7,1,0,3,1,1,0,12,4,8,10,0,8,12,5,0,8,4,0,0,4,0,0,0,0,0
0.85,6.56,64.2,3.58,2,1,1,1,10,2,0,4,0,0,0,12,0,4,11,2,10,14,59,0,8,4,0,0,5,0,0,0,2,24
1.19,5.33,56,3.55,0,0,0,0,1,0,0,0,0,0,2,14,2,4,7,4,18,20,48,6,2,8,0,6,8,0,0,0,2,16
0.9,7.18,55,3.54,0,0,0,0,6,0,0,0,0,0,0,6,0,3,3,2,6,12,0,2,0,6,0,0,10,5,0,0,0,0
1.03,6.96,49,3.51,0,0,0,0,1,0,0,0,0,0,2,13,0,4,8,1,9,13,39,1,8,5,0,1,3,0,0,0,0,28
1.08,7.14,45.19,3.48,2,1,1,1,10,2,0,4,0,2,0,6,6,6,13,4,10,10,68,0,2,4,6,8,14,0,2,4,4,32
0.56,14.6,43.8,3.4,0,0,0,1,9,0,0,3,0,0,16,10,2,2,3,7,15,19,34,4,2,8,6,2,16,4,2,4,4,14
0.89,5.57,68,3.37,0,0,0,0,1,0,0,0,0,0,2,12,2,2,11,6,16,16,34,6,0,10,0,4,8,0,0,4,2,8
0.77,7.75,56.33,3.35,2,0,0,1,7,1,0,3,1,1,0,12,1,1,2,6,18,18,17,6,0,10,0,0,5,0,0,4,2,0
0.89,5.91,50,3.28,0,0,0,0,1,0,0,0,0,0,2,10,0,4,2,2,8,12,24,0,6,4,0,0,3,0,0,0,2,4
0.85,7.96,48.2,3.26,2,1,1,1,10,2,0,4,0,0,0,12,0,2,11,3,10,13,45,2,4,4,0,0,6,0,0,0,0,16
0.79,7.73,53.1,3.25,2,0,0,1,7,1,0,3,1,1,0,18,0,0,12,6,18,18,19,6,0,6,0,0,8,0,0,0,0,0
0.879,6.92,52.19,3.18,2,1,1,1,10,2,0,4,0,2,0,12,0,4,10,0,8,12,37,0,8,4,0,0,4,0,0,0,0,8
0.83,9.53,40,3.16,2,0,0,1,7,1,0,3,1,1,0,6,4,4,7,2,8,8,26,0,2,4,6,4,8,0,2,4,2,8
0.76,8.77,47.2,3.13,2,0,0,1,7,1,0,3,1,1,0,12,2,6,10,0,8,12,13,0,8,4,0,0,4,0,0,0,0,0
0.89,5.81,60,3.12,0,0,0,0,1,0,0,0,0,0,2,10,2,4,8,4,12,16,28,4,4,6,0,0,13,2,0,0,2,4
0.77,10.57,37,3.09,2,0,0,1,6,0,2,1,0,2,20,12,1,5,12,0,8,12,24,0,8,4,0,0,7,0,0,0,0,4
0.79,10.31,38,3.09,2,0,0,1,7,1,0,3,1,1,0,11,3,3,4,2,13,13,14,0,3,4,6,0,5,0,2,4,2,7
0.91,5.86,55.4,3.05,2,0,0,1,6,0,2,1,0,2,20,12,2,6,14,0,8,12,74,0,8,4,0,0,14,0,0,0,0,40
0.78,8.4,45.2,2.88,2,0,0,1,7,1,0,3,1,1,0,18,0,0,12,6,18,18,13,6,0,6,0,0,8,0,0,0,0,0
0.813,8.44,45.29,2.86,3,0,0,2,9,0,3,3,0,2,6,12,0,4,10,0,8,12,37,0,8,4,0,0,4,0,0,0,0,8
0.91,7.08,40,2.72,2,0,0,1,7,1,0,3,1,1,0,18,3,9,19,0,12,18,87,0,12,6,0,0,18,0,0,0,0,24
0.74,8.94,40.8,2.7,2,0,0,1,7,1,0,3,1,1,0,9,2,2,2,5,11,11,19,1,2,5,6,0,5,0,2,4,2,8
1.1,7.28,33,2.66,2,0,0,1,7,1,0,3,1,1,0,14,0,0,12,7,15,15,22,6,0,6,0,2,7,0,0,0,1,4
0.82,5.61,55.06,2.52,0,0,0,0,1,0,0,0,0,0,2,8,4,4,5,6,14,14,28,2,0,6,4,4,10,0,0,4,4,8
0.85,7.51,36,2.51,4,0,0,1,5,1,0,3,3,1,0,4,7,8,6,1,4,6,12,2,0,4,0,0,4,0,0,0,0,0
1.16,4.45,47,2.49,0,0,0,0,1,0,0,0,0,0,2,16,0,8,8,8,16,24,68,0,8,8,0,0,4,0,0,0,8,0
0.789,8.11,38.6,2.47,2,1,1,1,10,2,0,4,0,0,0,6,0,2,8,4,8,10,22,0,4,2,0,0,4,0,0,0,4,4
1.1,5.44,41.17,2.46,2,1,1,1,10,2,0,4,0,2,0,6,6,6,13,4,10,10,60,0,2,4,6,8,14,0,2,4,4,24
0.79,7.3,42.37,2.44,2,1,1,1,10,2,0,4,0,0,0,10,2,6,2,6,14,19,76,2,2,8,11,0,4,4,2,4,4,40
0.742,7.15,44.3,2.35,2,0,0,1,7,1,0,3,1,1,0,12,0,4,10,0,8,12,41,0,8,4,0,0,4,0,0,0,0,28
0.76,8.44,36.48,2.33,8,0,0,0,9,0,6,0,0,0,24,10,2,2,3,7,15,19,34,4,2,8,6,2,16,4,2,4,4,14
0.72,9.67,33,2.33,0,0,0,0,4,0,0,0,0,0,12,10,2,2,3,7,15,15,26,4,2,8,6,0,16,0,2,4,4,0
0.54,14.73,28.92,2.3,4,0,0,1,5,1,0,3,3,1,0,8,4,4,7,4,12,16,42,0,2,4,6,4,8,4,2,4,4,8
0.87,4.7,55.4,2.25,2,0,0,2,9,0,2,3,0,2,20,6,3,3,3,2,8,8,13,0,2,4,6,0,5,0,2,4,2,4
0.91,4.95,48,2.2,0,0,0,0,1,0,0,0,0,0,2,7,1,3,4,2,7,9,48,0,5,2,0,0,5,0,1,0,2,28
1.02,5.92,33.4,2.1,2,0,0,1,7,1,0,3,1,1,0,12,3,6,7,3,18,21,39,6,3,9,0,0,15,0,0,0,0,12
0.96,5.9,40.6,2.06,3,0,1,1,9,2,1,3,0,0,22,6,3,3,3,2,8,8,13,0,2,4,6,0,5,0,2,4,2,4
0.72,7.65,37,2.02,4,0,0,1,5,1,0,3,3,1,0,24,0,8,24,0,16,24,28,0,16,8,0,0,8,0,0,0,0,0
0.87,5.3,41,1.9,2,0,0,1,7,1,0,3,1,1,0,6,2,4,11,2,6,8,12,0,4,2,0,4,8,0,0,0,2,0
0.81,5.03,45.66,1.85,2,1,1,1,10,2,0,4,0,0,0,10,2,6,2,6,14,17,76,2,2,8,11,0,4,2,2,4,4,40
0.81,5.87,38.9,1.85,2,0,0,1,7,1,0,3,1,1,0,9,0,0,6,3,9,9,9,3,0,3,0,0,4,0,0,0,0,0
1.06,6.05,28.6,1.8,2,0,0,1,7,1,0,3,1,1,0,18,0,2,12,8,18,20,38,6,2,8,0,2,4,0,0,0,2,4
0.74,5.18,46.5,1.78,2,1,1,1,10,2,0,4,0,0,0,24,0,9,18,2,18,26,66,2,12,12,0,0,16,1,0,0,0,24
0.99,3.75,46.3,1.72,6,0,0,0,5,2,2,0,2,0,16,6,4,4,3,2,8,8,22,0,2,4,6,0,8,0,2,4,2,8
0.9,4.77,38.6,1.72,2,0,0,1,7,1,0,3,1,1,0,12,2,6,14,0,8,12,74,0,8,4,0,0,14,0,0,0,0,40
0.75,5.9,36,1.57,4,0,0,1,5,1,0,3,3,1,0,23,2,10,24,0,15,23,28,0,15,8,0,0,18,0,0,0,0,0
1.04,5.2,28.1,1.5,2,0,0,1,7,1,0,3,1,1,0,18,0,2,12,8,18,20,40,6,2,8,0,2,4,0,0,0,2,12
1.02,2.9,59,1.48,6,0,0,1,6,2,2,1,2,2,28,8,2,4,3,4,14,16,30,4,2,6,0,0,8,0,0,0,2,0
0.43,5.29,60,1.45,0,0,0,0,1,0,0,0,0,0,2,6,0,2,1,5,11,13,26,2,0,2,4,4,1,0,0,0,4,8
0.77,4.48,41.9,1.45,2,1,1,1,10,2,0,4,0,0,0,12,0,4,10,1,8,13,46,0,8,4,0,0,4,0,0,0,0,16
0.91,4.6,33.7,1.42,2,0,0,1,7,1,0,3,1,1,0,24,2,2,8,8,32,32,12,12,0,20,0,0,14,0,0,8,0,0
0.81,4.29,39,1.37,4,0,0,1,5,1,0,3,3,1,0,16,1,5,12,0,12,16,24,0,8,4,0,0,7,0,0,0,0,4
0.49,5.59,52,1.35,0,0,0,0,1,0,0,0,0,0,2,8,0,2,1,7,13,15,36,2,4,4,0,4,3,0,0,0,6,12
0.73,3.72,51.25,1.29,0,0,0,0,1,0,0,0,0,0,2,8,2,4,5,2,10,12,28,0,2,6,2,4,6,0,0,4,2,8
0.88,3.71,38.1,1.28,2,0,0,1,7,1,0,3,1,1,0,9,6,6,7,3,12,12,36,0,3,6,9,0,15,0,3,6,3,12
0.47,5.38,50,1.28,0,0,0,0,1,0,0,0,0,0,2,6,0,0,3,7,13,13,26,6,0,6,0,4,3,0,0,0,4,8
0.88,3.28,43.47,1.25,0,0,0,0,1,0,0,0,0,0,2,6,0,2,4,6,10,12,28,0,4,2,0,2,1,0,0,0,6,4
1.11,2.93,36,1.18,0,0,0,0,1,0,0,0,0,0,2,16,0,8,6,8,16,24,65,0,8,8,0,0,4,0,0,0,8,0
